old_id	sense.julieartem	cues.julieartem	confidence.julieartem	comments.julieartem	sense.woordenschatjes	cues.woordenschatjes	confidence.woordenschatjes	comments.woordenschatjes	_ctxt.juliartem	_ctxt.woordenschatjes	_id	_ctxt.raw
zwart/adj/nrc_handelsblad_20030930_96/208	Onwettelijk/illegaal/verboden	R0	5		zwart_2	R0,L4	5.0		opgegaan in de grote , rechtse formatie UMP . De salarissen zouden betaald zijn met <span class='target'>zwart</span> <em>geld</em> van bedrijven die in ruil daarvoor opdrachten kregen in de bouwprojecten van de gemeente Parijs van 1988 tot 1995 , toen Chirac daar burgemeester was .	opgegaan in de grote , rechtse formatie UMP . De <em>salarissen</em> zouden betaald zijn met <span class='target'>zwart</span> <em>geld</em> van bedrijven die in ruil daarvoor opdrachten kregen in de bouwprojecten van de gemeente Parijs van 1988 tot 1995 , toen Chirac daar burgemeester was .	zwart/adj/nrc_handelsblad_20030930_96/232	"opgegaan in de grote , rechtse formatie UMP . De salarissen zouden betaald zijn met <span class=""target"">zwart</span> geld van bedrijven die in ruil daarvoor opdrachten kregen in de bouwprojecten van de gemeente Parijs van 1988 tot 1995 , toen Chirac daar burgemeester was ."
zwart/adj/nrc_handelsblad_20000207_58/988	Onwettelijk/illegaal/verboden	L2,R4,R5	5		zwart_2	L2,R0,R4	5.0		Clark gaf toe dat BAT op de hoogte is van het feit dat hun sigaretten en die van anderen via <em>smokkel</em> op de <span class='target'>zwarte</span> markt terecht komen . <em>Illegale</em> <em>handel</em> is een logisch gevolg van de soms enorme handelsbarrières	Clark gaf toe dat BAT op de hoogte is van het feit dat hun sigaretten en die van anderen via <em>smokkel</em> op de <span class='target'>zwarte</span> <em>markt</em> terecht komen . <em>Illegale</em> handel is een logisch gevolg van de soms enorme handelsbarrières	zwart/adj/nrc_handelsblad_20000207_58/1074	"Clark gaf toe dat BAT op de hoogte is van het feit dat hun sigaretten en die van anderen via smokkel op de <span class=""target"">zwarte</span> markt terecht komen . Illegale handel is een logisch gevolg van de soms enorme handelsbarrières"
zwart/adj/nrc_handelsblad_20000824_137/78	Kleur	R0,L1	5		zwart_1	R0,L1	5.0		advocaat van Karel . De advocaat was een kalende man in een merkwaardige <em>zomerkledij</em> - <span class='target'>zwarte</span> <em>coltrui</em> . Hij was in het gezelschap van een geblondeerde vrouw en een oudere man	advocaat van Karel . De advocaat was een kalende man in een merkwaardige <em>zomerkledij</em> - <span class='target'>zwarte</span> <em>coltrui</em> . Hij was in het gezelschap van een geblondeerde vrouw en een oudere man	zwart/adj/nrc_handelsblad_20000824_137/88	"advocaat van Karel . De advocaat was een kalende man in een merkwaardige zomerkledij - <span class=""target"">zwarte</span> coltrui . Hij was in het gezelschap van een geblondeerde vrouw en een oudere man"
zwart/adj/nrc_handelsblad_20020722_73/72	Kleur	L3	5		zwart_1	L13,L11,L3	5.0		Het zonnige geel en helrood in de rok werden omfloerst door een <em>mantel</em> van scharlaken en <span class='target'>zwart</span> . De lente en de vrolijke zomer van het leven zijn voorbij , het diepe	Het zonnige <em>geel</em> en <em>helrood</em> in de rok werden omfloerst door een <em>mantel</em> van scharlaken en <span class='target'>zwart</span> . De lente en de vrolijke zomer van het leven zijn voorbij , het diepe	zwart/adj/nrc_handelsblad_20020722_73/78	"Het zonnige geel en helrood in de rok werden omfloerst door een mantel van scharlaken en <span class=""target"">zwart</span> . De lente en de vrolijke zomer van het leven zijn voorbij , het diepe"
zwart/adj/nrc_handelsblad_19991001_1/1635	Slecht/ onvriendelijk (emotie)	R0,L15	5		zwart_3	R0,L1	5.0	Vooral gebaseerd op wereldkennis	En ik hoefde geen <em>astroloog</em> te raadplegen om te weten dat mijn leugens binnenkort zullen barsten als de beurs op <span class='target'>zwarte</span> <em>maandag</em> .	En ik hoefde geen astroloog te raadplegen om te weten dat mijn leugens binnenkort zullen barsten als de <em>beurs</em> op <span class='target'>zwarte</span> <em>maandag</em> .	zwart/adj/nrc_handelsblad_19991001_1/1909	"En ik hoefde geen astroloog te raadplegen om te weten dat mijn leugens binnenkort zullen barsten als de beurs op <span class=""target"">zwarte</span> maandag ."
zwart/adj/nrc_handelsblad_19990709_113/1711	Slecht/ onvriendelijk (emotie)	L17,L2	5		zwart_1	R0,R1	3.0		Zoals in de film The <em>Matrix</em> , waarin de bestaande , hedendaags wereld tot een verzinsel wordt verklaard en de <em>toekomst</em> tot een <span class='target'>zwarte</span> vormeloze ruimte . In plaats van de toekomst , het lineaire tijdsverloop , wordt er	Zoals in de film The Matrix , waarin de bestaande , hedendaags wereld tot een verzinsel wordt verklaard en de toekomst tot een <span class='target'>zwarte</span> <em>vormeloze</em> <em>ruimte</em> . In plaats van de toekomst , het lineaire tijdsverloop , wordt er	zwart/adj/nrc_handelsblad_19990709_113/1865	"Zoals in de film The Matrix , waarin de bestaande , hedendaags wereld tot een verzinsel wordt verklaard en de toekomst tot een <span class=""target"">zwarte</span> vormeloze ruimte . In plaats van de toekomst , het lineaire tijdsverloop , wordt er"
zwart/adj/nrc_handelsblad_20030530_113/222	Kleur	R0	5		zwart_1	R1,R4	5.0		quasi-poëtisch gestuntel van de meeste Nederlandstalige popgroepen bleekjes bij afsteekt . Twintig hoofden , in <span class='target'>zwarte</span> <em>Oost-Indische</em> inkt op papier getekend , hangen aan de wanden van Galerie Slewe . Sommige	quasi-poëtisch gestuntel van de meeste Nederlandstalige popgroepen bleekjes bij afsteekt . Twintig hoofden , in <span class='target'>zwarte</span> Oost-Indische <em>inkt</em> op papier <em>getekend</em> , hangen aan de wanden van Galerie Slewe . Sommige	zwart/adj/nrc_handelsblad_20030530_113/238	"quasi-poëtisch gestuntel van de meeste Nederlandstalige popgroepen bleekjes bij afsteekt . Twintig hoofden , in <span class=""target"">zwarte</span> Oost-Indische inkt op papier getekend , hangen aan de wanden van Galerie Slewe . Sommige"
zwart/adj/nrc_handelsblad_20031215_56/338	Donker/duister (neutraal)	R0,R9,R10,R11	5		zwart_3	R0,L11	4.0		"vergaderen uiteindelijk een onbevredigend resultaat kwam . De PvdA'er Timmermans daarentegen sprak van "" een <span class='target'>zwarte</span> <em>dag</em> "" voor Europa . "" Europa heeft een <em>historische</em> <em>kans</em> <em>gemist</em> "" , aldus"	"vergaderen uiteindelijk een <em>onbevredigend</em> resultaat kwam . De PvdA'er Timmermans daarentegen sprak van "" een <span class='target'>zwarte</span> <em>dag</em> "" voor Europa . "" Europa heeft een historische kans gemist "" , aldus"	zwart/adj/nrc_handelsblad_20031215_56/372	"vergaderen uiteindelijk een onbevredigend resultaat kwam . De PvdA'er Timmermans daarentegen sprak van "" een <span class=""target"">zwarte</span> dag "" voor Europa . "" Europa heeft een historische kans gemist "" , aldus"
zwart/adj/nrc_handelsblad_20030417_09/387	Huidskleur	R0	5		zwart_9	R0	3.0		militairen en een bomaanslag op een Nederlands patrouillevoertuig is de situatie betrekkelijk rustig gebleven . <span class='target'>Zwarte</span> <em>scholen</em> hebben de meeste last van het lerarentekort , schreef de Onderwijsinspectie gisteren , en	militairen en een bomaanslag op een Nederlands patrouillevoertuig is de situatie betrekkelijk rustig gebleven . <span class='target'>Zwarte</span> <em>scholen</em> hebben de meeste last van het lerarentekort , schreef de Onderwijsinspectie gisteren , en	zwart/adj/nrc_handelsblad_20030417_09/425	"militairen en een bomaanslag op een Nederlands patrouillevoertuig is de situatie betrekkelijk rustig gebleven . <span class=""target"">Zwarte</span> scholen hebben de meeste last van het lerarentekort , schreef de Onderwijsinspectie gisteren , en"
zwart/adj/nrc_handelsblad_20031128_967/319	Huidskleur	R0	5		zwart_9	R0,L14	5.0		uitbuiting op waaraan veel Zuid-Afrikaanse bedrijven zich schuldig zouden hebben gemaakt . De verdrijving van <span class='target'>zwarte</span> <em>Zuid-Afrikanen</em> naar onvruchtbare gronden , zodat zij wel in mijnen of fabrieken moesten werken om te kunnen overleven .	<em>uitbuiting</em> op waaraan veel Zuid-Afrikaanse bedrijven zich schuldig zouden hebben gemaakt . De verdrijving van <span class='target'>zwarte</span> <em>Zuid-Afrikanen</em> naar onvruchtbare gronden , zodat zij wel in mijnen of fabrieken moesten werken om te kunnen overleven .	zwart/adj/nrc_handelsblad_20031128_967/351	"uitbuiting op waaraan veel Zuid-Afrikaanse bedrijven zich schuldig zouden hebben gemaakt . De verdrijving van <span class=""target"">zwarte</span> Zuid-Afrikanen naar onvruchtbare gronden , zodat zij wel in mijnen of fabrieken moesten werken om te kunnen overleven ."
